name,address,pname,cityname,adname,adcode,lon_gcj02,lat_gcj02,typecode,大类,中类,小类,lon_wgs84,lat_wgs84
西南交通大学九里校区停车场,二环路北一段111号西南交通大学九里校区,四川省,成都市,金牛区,510106,104.053535,30.695698,150905,交通设施服务,停车场,专用停车场,104.05105225,30.69812308
西南交通大学九里校区停车场,二环路北一段111号西南交通大学九里校区思源路附近,四川省,成都市,金牛区,510106,104.055923,30.696817,150905,交通设施服务,停车场,专用停车场,104.05343451,30.69923705
华置·都汇华庭停车场(入口),镋钯街34附近,四川省,成都市,锦江区,510104,104.08149,30.649294,150907,交通设施服务,停车场,停车场入口,104.07895963,30.65170188
西南交通大学九里校区停车场,二环路北一段111号西南交通大学九里校区附近,四川省,成都市,金牛区,510106,104.053169,30.697315,150905,交通设施服务,停车场,专用停车场,104.05068708,30.69974003
停车场(双建路),双建路139附近,四川省,成都市,成华区,510108,104.113869,30.68117,150900,交通设施服务,停车场,停车场相关,104.1113286,30.68356269
礼顿酒店停车场,红星路一段39号,四川省,成都市,锦江区,510104,104.086845,30.664797,150904,交通设施服务,停车场,公共停车场,104.08430886,30.66719476
四川广播电视大学停车场(一环路西三段),一环路西三段新1号1附近,四川省,成都市,金牛区,510106,104.03894,30.667999,150905,交通设施服务,停车场,专用停车场,104.03649837,30.6704687
停车场(富森路),0,四川省,成都市,成华区,510108,104.114487,30.721207,150904,交通设施服务,停车场,公共停车场,104.11194508,30.72358123
安逸酒店停车场,太升北路64号安逸酒店,四川省,成都市,青羊区,510105,104.083229,30.672352,150904,交通设施服务,停车场,公共停车场,104.08069577,30.67474853
停车场(熊猫大道西段),0,四川省,成都市,金牛区,510106,104.080727,30.731468,150904,交通设施服务,停车场,公共停车场,104.07819369,30.73383846
停车场(狮马路),狮马路94号,四川省,成都市,青羊区,510105,104.085121,30.671963,150904,交通设施服务,停车场,公共停车场,104.082586,30.67435851
停车场(蓉北商贸大道一段),赛云台西二路13附近,四川省,成都市,金牛区,510106,104.065529,30.704535,150904,交通设施服务,停车场,公共停车场,104.06301986,30.70693556
北门车站,一环路北四段197号,四川省,成都市,金牛区,510106,104.085487,30.682774,150400,交通设施服务,长途汽车站,长途汽车站,104.08295117,30.68516441
停车场,暑袜中街19号附近,四川省,成都市,锦江区,510104,104.07431,30.656837,150904,交通设施服务,停车场,公共停车场,104.07178838,30.65924817
停车场,西体北路2号,四川省,成都市,金牛区,510106,104.063377,30.69026,150904,交通设施服务,停车场,公共停车场,104.06087269,30.69267047
成都站,二环路北三段,四川省,成都市,金牛区,510106,104.073532,30.697165,150200,交通设施服务,火车站,火车站,104.07100968,30.69955878
博美装饰城停车场,花牌坊街319号博美装饰城,四川省,成都市,金牛区,510106,104.04567,30.681206,150904,交通设施服务,停车场,公共停车场,104.04320837,30.68365411
停车场,富森路附近,四川省,成都市,成华区,510108,104.114914,30.720833,150904,交通设施服务,停车场,公共停车场,104.11237233,30.7232077
福苑宾馆停车场,红星路4段98号福苑宾馆,四川省,成都市,锦江区,510104,104.075844,30.650318,150904,交通设施服务,停车场,公共停车场,104.07332052,30.6527304
童子街庭苑停车场,童子街29号,四川省,成都市,青羊区,510105,104.076904,30.666204,150907,交通设施服务,停车场,停车场入口,104.07437836,30.66860843
停车场(灶君庙街),草市街123号,四川省,成都市,青羊区,510105,104.07605,30.671324,150904,交通设施服务,停车场,公共停车场,104.07352527,30.67372698
天府博览中心停车场,西华门街28号,四川省,成都市,青羊区,510105,104.062714,30.663759,150904,交通设施服务,停车场,公共停车场,104.06021222,30.66618249
停车场(北三环路四段),0,四川省,成都市,成华区,510108,104.113319,30.719303,150904,交通设施服务,停车场,公共停车场,104.11077656,30.72167739
停车场(西林二街),西林二街22附近,四川省,成都市,成华区,510108,104.099777,30.698336,150904,交通设施服务,停车场,公共停车场,104.09723315,30.70071563
三环凤凰立交东内侧站(公交站),38路;46路;50路;136路;1066路,四川省,成都市,金牛区,510106,104.076973,30.722731,150700,交通设施服务,公交车站,公交车站相关,104.07444467,30.72510901
萧邦停车场,和平街19号,四川省,成都市,锦江区,510104,104.081367,30.662445,150905,交通设施服务,停车场,专用停车场,104.07883616,30.66484726
西南交通大学九里校区停车场,二环路北一段111号西南交通大学九里校区唐臣路附近,四川省,成都市,金牛区,510106,104.052292,30.699627,150905,交通设施服务,停车场,专用停车场,104.04981214,30.70205267
停车场(二环路北三段),站东路10号附近,四川省,成都市,金牛区,510106,104.075729,30.696434,150904,交通设施服务,停车场,公共停车场,104.07320356,30.6988258
停车场(熊猫大道西段),0,四川省,成都市,金牛区,510106,104.080437,30.731564,150904,交通设施服务,停车场,公共停车场,104.07790402,30.73393465
停车场(新鸿南二巷),新鸿路130附近,四川省,成都市,成华区,510108,104.099648,30.661539,150904,交通设施服务,停车场,公共停车场,104.09710586,30.66393535
停车场(北三环路四段),北三环路四段辅路附近,四川省,成都市,成华区,510108,104.113434,30.718733,150904,交通设施服务,停车场,公共停车场,104.11089165,30.72110774
